Word,Filename,Count
12,77.txt,1
12,78.txt,2
12,8.txt,2
12,80.txt,4
12,85.txt,2
12,87.txt,1
12,88.txt,2
12,90.txt,1
12,91.txt,2
12,92.txt,1
12,93.txt,1
12,94.txt,2
12,95.txt,2
12,96.txt,1
12,97.txt,1
120,23.txt,1
122m,82.txt,1
125,90.txt,1
1268,93.txt,1
1271,93.txt,1
1274,93.txt,1
12h,8.txt,2
12km,20.txt,1
12th,55.txt,1
13,1.txt,2
13,10.txt,2
13,11.txt,4
13,13.txt,1
13,14.txt,1
13,2.txt,2
13,22.txt,1
13,23.txt,1
13,27.txt,4
13,28.txt,2
13,30.txt,1
13,31.txt,1
13,37.txt,1
13,39.txt,1
13,41.txt,1
13,42.txt,2
13,43.txt,2
13,44.txt,3
13,45.txt,3
13,51.txt,2
13,52.txt,2
13,53.txt,6
13,56.txt,1
13,6.txt,3
13,71.txt,1
13,72.txt,1
13,73.txt,2
13,76.txt,2
13,78.txt,3
13,81.txt,2
13,84.txt,2
13,85.txt,2
13,86.txt,1
13,87.txt,2
13,88.txt,2
13,90.txt,2
13,91.txt,2
13,92.txt,3
13,93.txt,2
13,95.txt,2
13,97.txt,4
13,98.txt,1
1300,78.txt,1
1300s,93.txt,1
1314,8.txt,1
135,93.txt,1
13th,55.txt,1
13th,92.txt,1
14,1.txt,2
14,10.txt,2
14,11.txt,1
14,12.txt,1
14,13.txt,2
14,16.txt,3
14,23.txt,1
14,24.txt,1
14,27.txt,1
14,28.txt,1
14,3.txt,1
14,31.txt,1
14,36.txt,1
14,38.txt,1
14,39.txt,1
14,4.txt,3
14,40.txt,5
14,42.txt,3
14,43.txt,3
14,44.txt,3
14,45.txt,3
14,55.txt,1
14,56.txt,1
14,59.txt,1
14,6.txt,3
14,69.txt,1
14,73.txt,1
14,76.txt,2
14,79.txt,1
14,8.txt,4
14,80.txt,3
14,85.txt,2
14,87.txt,5
14,88.txt,3
14,89.txt,1
14,9.txt,8
14,90.txt,4
14,91.txt,3
14,92.txt,3
14,93.txt,3
14,94.txt,7
14,95.txt,3
14,97.txt,2
14,98.txt,1
140,28.txt,1
145km,97.txt,1
1483,85.txt,1
1485,85.txt,1
14h,8.txt,1
14th,55.txt,1
15,10.txt,1
15,11.txt,2
15,12.txt,3
15,13.txt,2
15,14.txt,2
15,16.txt,2
15,2.txt,3
15,25.txt,1
15,26.txt,1
